Row Num,Season,Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,PL,Open OU,,Close OU,
1,2017/2018,1004,1,V,Toronto,3,1,3,7,-110,-105,+1.5(-295),5.5,-125,6,-115
2,2017/2018,1004,2,H,Winnipeg,0,0,2,2,-110,-115,-1.5(+235),5.5,105,6,-105
3,2017/2018,1004,3,V,St.Louis,2,1,1,5,165,160,+1.5(-185),5.5,-110,5.5,105
4,2017/2018,1004,4,H,Pittsburgh,1,1,2,4,-185,-180,-1.5(+160),5.5,-110,5.5,-125
5,2017/2018,1004,5,V,Calgary,0,0,0,0,132,135,+1.5(-230),5.5,-106,5.5,-105
6,2017/2018,1004,6,H,Edmonton,1,0,2,3,-152,-155,-1.5(+190),5.5,-114,5.5,-115
7,2017/2018,1004,7,V,Philadelphia,2,1,2,5,140,130,+1.5(-240),5.5,104,5,-135
8,2017/2018,1004,8,H,SanJose,2,0,1,3,-160,-150,-1.5(+200),5.5,-124,5,115
9,2017/2018,1005,51,V,Montreal,1,0,1,3,-130,-125,-1.5(+220),5,-120,5,-135
10,2017/2018,1005,52,H,Buffalo,1,1,0,2,110,105,+1.5(-270),5,100,5,115
11,2017/2018,1005,53,V,Nashville,1,0,2,3,115,-104,+1.5(-295),5.5,100,5,-130
12,2017/2018,1005,54,H,Boston,1,2,1,4,-135,-116,-1.5(+235),5.5,-120,5,110
13,2017/2018,1005,55,V,Colorado,2,1,1,4,170,180,+1.5(-165),5.5,-105,5.5,-111
14,2017/2018,1005,56,H,NYRangers,2,0,0,2,-200,-210,-1.5(+144),5.5,-115,5.5,-109
15,2017/2018,1005,57,V,Washington,1,0,3,5,-145,-140,-1.5(+204),5.5,110,5.5,125
16,2017/2018,1005,58,H,Ottawa,1,1,2,4,125,120,+1.5(-244),5.5,-130,5.5,-145
17,2017/2018,1005,59,V,Minnesota,0,0,2,2,-140,-140,-1.5(+210),5.5,-110,5,-140
18,2017/2018,1005,60,H,Detroit,0,2,2,4,120,120,+1.5(-260),5.5,-110,5,120
19,2017/2018,1005,61,V,Pittsburgh,0,1,0,1,115,110,+1.5(-260),5.5,-125,5.5,-120
20,2017/2018,1005,62,H,Chicago,5,3,2,10,-135,-130,-1.5(+210),5.5,105,5.5,100
21,2017/2018,1005,63,V,Philadelphia,0,0,0,0,145,133,+1.5(-218),5,-130,5,-135
22,2017/2018,1005,64,H,LosAngeles,0,1,1,2,-165,-153,-1.5(+182),5,110,5,115
23,2017/2018,1005,65,V,Arizona,2,2,0,4,165,137,+1.5(-215),5.5,100,5.5,110
24,2017/2018,1005,66,H,Anaheim,1,2,2,5,-185,-157,-1.5(+185),5.5,-120,5.5,-130
25,2017/2018,1006,1,V,NYIslanders,0,0,0,0,140,125,+1.5(-240),5.5,-120,5.5,100
26,2017/2018,1006,2,H,Columbus,2,3,0,5,-160,-145,-1.5(+200),5.5,100,5.5,-120
27,2017/2018,1006,3,V,Florida,0,2,1,3,145,165,+1.5(-180),5.5,100,5.5,100
28,2017/2018,1006,4,H,TampaBay,1,1,3,5,-165,-185,-1.5(+160),5.5,-120,5.5,-120
29,2017/2018,1006,5,V,Vegas,0,0,2,2,200,195,+1.5(-135),5.5,-119,5.5,-135
30,2017/2018,1006,6,H,Dallas,0,1,0,1,-240,-235,-1.5(+115),5.5,-101,5.5,115
31,2017/2018,1007,51,V,Detroit,0,0,1,2,118,118,+1.5(-265),5.5,120,5.5,110
32,2017/2018,1007,52,H,Ottawa,0,0,1,1,-138,-138,-1.5(+218),5.5,-140,5.5,-130
33,2017/2018,1007,53,V,TampaBay,2,1,1,4,-115,-108,+1.5(-315),5.5,-115,5.5,-110
34,2017/2018,1007,54,H,Florida,1,1,3,5,-105,-112,-1.5(+250),5.5,-105,5.5,-110
