Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nhl.p.2848,Dan,Hamhuis,D,NSH,COL,NSH@COL,3:00PM EST,10,2.3," ",No
nhl.p.3764,Pekka,Rinne,G,NSH,COL,NSH@COL,3:00PM EST,30,10.6," ",Yes
nhl.p.4558,P.K.,Subban,D,NSH,COL,NSH@COL,3:00PM EST,22,6.6," ",No
nhl.p.4691,Ryan,Ellis,D,NSH,COL,NSH@COL,3:00PM EST,19,6.3," ",No
nhl.p.4748,Zac,Rinaldo,LW,NSH,COL,NSH@COL,3:00PM EST,10,1.5,IR,No
nhl.p.4838,Nick,Bonino,C,NSH,COL,NSH@COL,3:00PM EST,17,5.6," ",No
nhl.p.4881,Matt,Irwin,D,NSH,COL,NSH@COL,3:00PM EST,10,3.8," ",No
nhl.p.4930,Roman,Josi,D,NSH,COL,NSH@COL,3:00PM EST,23,8.2," ",No
nhl.p.4978,Austin,Watson,RW,NSH,COL,NSH@COL,3:00PM EST,13,4.7," ",No
nhl.p.5024,Calle,Jarnkrok,LW,NSH,COL,NSH@COL,3:00PM EST,12,3.9," ",No
nhl.p.5142,Anthony,Bitetto,D,NSH,COL,NSH@COL,3:00PM EST,10,2.8," ",No
nhl.p.5329,Mattias,Ekholm,D,NSH,COL,NSH@COL,3:00PM EST,19,7.2," ",No
nhl.p.5396,Craig,Smith,RW,NSH,COL,NSH@COL,3:00PM EST,16,6.1," ",No
nhl.p.5401,Rocco,Grimaldi,RW,NSH,COL,NSH@COL,3:00PM EST,10,3.0," ",No
nhl.p.5691,Filip,Forsberg,LW,NSH,COL,NSH@COL,3:00PM EST,26,8.8," ",No
nhl.p.5739,Colton,Sissons,C,NSH,COL,NSH@COL,3:00PM EST,18,6.0," ",No
nhl.p.6009,Ryan,Hartman,LW,NSH,COL,NSH@COL,3:00PM EST,11,3.8," ",No
nhl.p.6078,Juuse,Saros,G,NSH,COL,NSH@COL,3:00PM EST,33,9.9," ",No
nhl.p.6377,Kevin,Fiala,LW,NSH,COL,NSH@COL,3:00PM EST,16,4.5," ",No
nhl.p.6480,Viktor,Arvidsson,RW,NSH,COL,NSH@COL,3:00PM EST,25,8.9," ",No
nhl.p.6655,Frederick,Gaudreau,C,NSH,COL,NSH@COL,3:00PM EST,10,1.4," ",No
nhl.p.5420,Miikka,Salomaki,LW,NSH,COL,NSH@COL,3:00PM EST,10,3.0,IR,No
nhl.p.4242,Kyle,Turris,C,NSH,COL,NSH@COL,3:00PM EST,10,4.4,DTD,No
nhl.p.4537,Yannick,Weber,D,NSH,COL,NSH@COL,3:00PM EST,10,2.7," ",No
nhl.p.3928,Carl,Soderberg,C,COL,NSH,NSH@COL,3:00PM EST,17,6.2," ",No
nhl.p.3979,Erik,Johnson,D,COL,NSH,NSH@COL,3:00PM EST,12,4.6,DTD,No
nhl.p.4003,Semyon,Varlamov,G,COL,NSH,NSH@COL,3:00PM EST,26,10.3," ",Yes
nhl.p.4257,Ian,Cole,D,COL,NSH,NSH@COL,3:00PM EST,14,4.7," ",No
nhl.p.4480,Colin,Wilson,RW,COL,NSH,NSH@COL,3:00PM EST,11,3.8," ",No
nhl.p.4794,Matt,Calvert,RW,COL,NSH,NSH@COL,3:00PM EST,13,3.9," ",No
nhl.p.4883,Gabriel,Bourque,RW,COL,NSH,NSH@COL,3:00PM EST,10,1.9," ",No
nhl.p.4929,Mark,Barberio,D,COL,NSH,NSH@COL,3:00PM EST,10,1.5," ",No
nhl.p.5014,Patrik,Nemeth,D,COL,NSH,NSH@COL,3:00PM EST,11,3.5," ",No
nhl.p.5085,Philipp,Grubauer,G,COL,NSH,NSH@COL,3:00PM EST,27,8.5," ",No
nhl.p.5281,Tyson,Barrie,D,COL,NSH,NSH@COL,3:00PM EST,21,8.0," ",No
nhl.p.5363,Gabriel,Landeskog,LW,COL,NSH,NSH@COL,3:00PM EST,29,11.1," ",No
nhl.p.5415,Matt,Nieto,LW,COL,NSH,NSH@COL,3:00PM EST,10,2.8," ",No
nhl.p.5840,Alexander,Kerfoot,C,COL,NSH,NSH@COL,3:00PM EST,12,4.3," ",No
nhl.p.5980,Nathan,MacKinnon,C,COL,NSH,NSH@COL,3:00PM EST,34,13.2," ",No
nhl.p.5995,Nikita,Zadorov,D,COL,NSH,NSH@COL,3:00PM EST,12,3.4," ",No
nhl.p.6010,Sven,Andrighetto,RW,COL,NSH,NSH@COL,3:00PM EST,10,3.0," ",No
nhl.p.6015,J.T.,Compher,RW,COL,NSH,NSH@COL,3:00PM EST,14,6.1," ",No
nhl.p.6752,Mikko,Rantanen,RW,COL,NSH,NSH@COL,3:00PM EST,32,11.7," ",No
nhl.p.7155,Samuel,Girard,D,COL,NSH,NSH@COL,3:00PM EST,10,3.7," ",No
nhl.p.7816,Sheldon,Dries,C,COL,NSH,NSH@COL,3:00PM EST,10,2.2," ",No
nhl.p.6411,Vladislav,Kamenev,C,COL,NSH,NSH@COL,3:00PM EST,10,2.0,IR,No
nhl.p.7547,Conor,Timmins,D,COL,NSH,NSH@COL,3:00PM EST,10,0.0,IR,No
nhl.p.5559,Colin,Blackwell,C,NSH,COL,NSH@COL,3:00PM EST,10,1.0," ",No
nhl.p.3103,Jay,Bouwmeester,D,STL,LA,STL@LA,4:00PM EST,13,3.4," ",No
nhl.p.4265,David,Perron,RW,STL,LA,STL@LA,4:00PM EST,18,6.4,DTD,No
nhl.p.4352,Pat,Maroon,LW,STL,LA,STL@LA,4:00PM EST,11,3.0," ",No
nhl.p.4474,Alex,Pietrangelo,D,STL,LA,STL@LA,4:00PM EST,17,6.2," ",No
nhl.p.4589,Jake,Allen,G,STL,LA,STL@LA,4:00PM EST,34,8.4," ",No
